epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3526,1.47388,2.64136,1.11106,0.75881,0.69771,0.72799,0.36417,1.74002,2.4314,1.338,0.000474807,0.000474807,0.000474807
2,169.738,1.5378,2.85174,1.14548,0.68707,0.64991,0.66559,0.30502,1.83929,2.73701,1.38782,0.000937688,0.000937688,0.000937688
3,252.843,1.58746,3.12919,1.17328,0.69033,0.63116,0.6621,0.2973,1.84621,2.90327,1.40458,0.0013871,0.0013871,0.0013871
4,335.966,1.63209,3.28966,1.20138,0.66117,0.61299,0.63376,0.29085,1.87726,2.98744,1.41686,0.00136837,0.00136837,0.00136837
5,419.724,1.61755,3.29837,1.19663,0.66486,0.63352,0.65709,0.30719,1.8357,2.83608,1.39682,0.00134816,0.00134816,0.00134816
6,502.584,1.62596,3.28235,1.20378,0.67915,0.6118,0.65776,0.31298,1.80808,2.837,1.38444,0.00132795,0.00132795,0.00132795
7,585.64,1.61743,3.27146,1.19921,0.65436,0.64114,0.66074,0.30934,1.79004,2.94673,1.37097,0.00130774,0.00130774,0.00130774
8,668.154,1.61504,3.23568,1.18817,0.64578,0.63927,0.64893,0.30852,1.80391,2.90287,1.36899,0.00128753,0.00128753,0.00128753
9,751.404,1.60589,3.22694,1.19412,0.69884,0.64635,0.66901,0.31322,1.81409,2.73459,1.39075,0.00126732,0.00126732,0.00126732
10,834.963,1.59493,3.12912,1.17546,0.7016,0.6692,0.69086,0.32796,1.79327,2.74815,1.36877,0.00124711,0.00124711,0.00124711
11,916.437,1.59665,3.14435,1.17957,0.73205,0.66158,0.6875,0.32168,1.79795,2.79366,1.35915,0.0012269,0.0012269,0.0012269
12,998.923,1.59464,3.14756,1.18521,0.72537,0.66434,0.68809,0.31689,1.86099,2.68612,1.41312,0.00120669,0.00120669,0.00120669
13,1081.65,1.58629,3.05274,1.17418,0.71561,0.6552,0.67914,0.32618,1.80803,2.69001,1.38614,0.00118648,0.00118648,0.00118648
14,1164.77,1.5762,3.07337,1.17544,0.70374,0.65121,0.68336,0.32493,1.76048,2.74138,1.36209,0.00116627,0.00116627,0.00116627
15,1246.22,1.57139,3.00574,1.16369,0.71968,0.66397,0.69577,0.33768,1.78619,2.67613,1.35699,0.00114606,0.00114606,0.00114606
16,1327.84,1.5778,2.9873,1.1616,0.74408,0.67228,0.70612,0.33663,1.76108,2.58304,1.34768,0.00112585,0.00112585,0.00112585
17,1410.87,1.57175,3.00587,1.16693,0.7094,0.68003,0.69594,0.33129,1.81147,2.57636,1.37988,0.00110564,0.00110564,0.00110564
18,1493.23,1.5649,2.93849,1.16684,0.72255,0.6831,0.70607,0.34769,1.7539,2.55566,1.34334,0.00108543,0.00108543,0.00108543
19,1575.49,1.55775,2.91899,1.1615,0.74345,0.68934,0.71565,0.34498,1.79825,2.55715,1.36836,0.00106522,0.00106522,0.00106522
20,1658.37,1.54837,2.90554,1.15999,0.73647,0.66704,0.71082,0.34477,1.76853,2.59472,1.34922,0.00104501,0.00104501,0.00104501
21,1740.91,1.53419,2.85478,1.1376,0.7263,0.69232,0.70787,0.34639,1.75639,2.53879,1.33675,0.0010248,0.0010248,0.0010248
22,1823.33,1.53915,2.88236,1.14733,0.75325,0.68259,0.71512,0.34128,1.78658,2.52874,1.36224,0.00100459,0.00100459,0.00100459
23,1906.16,1.53303,2.86013,1.14349,0.76496,0.70336,0.73324,0.35829,1.7448,2.46095,1.32973,0.000984377,0.000984377,0.000984377
24,1988.61,1.52119,2.80713,1.13348,0.78342,0.69411,0.7313,0.36432,1.74501,2.43949,1.33215,0.000964167,0.000964167,0.000964167
