epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9331,1.20551,1.7726,0.95113,0.84008,0.74885,0.78815,0.42306,1.66445,1.95115,1.30119,0.000474807,0.000474807,0.000474807
2,174.63,1.20442,1.7326,0.95186,0.81351,0.7306,0.76472,0.39496,1.74404,2.04171,1.3505,0.000904059,0.000904059,0.000904059
3,259.192,1.2446,1.85459,0.97346,0.79611,0.7274,0.75988,0.38825,1.7546,2.09669,1.37204,0.00128615,0.00128615,0.00128615
4,343.487,1.28939,1.95646,0.99362,0.80728,0.71579,0.75005,0.3787,1.78777,2.15679,1.36424,0.00121679,0.00121679,0.00121679
5,426.263,1.28324,1.9747,0.98714,0.82268,0.72887,0.76754,0.39248,1.72161,2.02479,1.35828,0.00114606,0.00114606,0.00114606
6,510.623,1.29236,1.92788,0.98982,0.83244,0.72827,0.77122,0.39389,1.7246,2.053,1.32545,0.00107532,0.00107532,0.00107532
7,594.452,1.28203,1.91566,0.98669,0.81173,0.73911,0.77176,0.39852,1.71782,2.01611,1.3425,0.00100459,0.00100459,0.00100459
8,678.308,1.26838,1.89503,0.97738,0.80469,0.73253,0.76385,0.39498,1.71567,2.01154,1.33418,0.000933851,0.000933851,0.000933851
9,762.777,1.25429,1.89088,0.97688,0.81818,0.73254,0.76857,0.39904,1.71646,1.96024,1.33553,0.000863116,0.000863116,0.000863116
10,846.034,1.23534,1.80752,0.96347,0.8334,0.72867,0.77725,0.39984,1.73229,1.9868,1.34621,0.00079238,0.00079238,0.00079238
11,930.196,1.34923,1.63475,1.08644,0.82042,0.74914,0.77469,0.39799,1.71627,1.99871,1.31627,0.000721645,0.000721645,0.000721645
12,1011.51,1.30282,1.5359,1.05667,0.86089,0.72999,0.78302,0.40785,1.69964,1.98256,1.31531,0.000650909,0.000650909,0.000650909
13,1093.05,1.27306,1.48619,1.03985,0.84603,0.74567,0.78461,0.40856,1.70546,1.9388,1.31798,0.000580174,0.000580174,0.000580174
14,1175.01,1.26383,1.44419,1.03319,0.83973,0.74949,0.78533,0.41065,1.68979,1.93629,1.30232,0.000509438,0.000509438,0.000509438
15,1256.52,1.23632,1.4243,1.02065,0.83043,0.75924,0.78948,0.4224,1.66902,1.91299,1.30299,0.000438703,0.000438703,0.000438703
16,1338.4,1.20673,1.38659,1.00303,0.85052,0.75442,0.78996,0.42503,1.65193,1.89599,1.28951,0.000367967,0.000367967,0.000367967
17,1420.25,1.20383,1.35682,1.00067,0.83286,0.76649,0.79983,0.42677,1.66065,1.85014,1.29061,0.000297232,0.000297232,0.000297232
18,1501.45,1.17796,1.30724,0.98855,0.83385,0.77498,0.80502,0.43579,1.63654,1.84079,1.27899,0.000226497,0.000226497,0.000226497
19,1582.58,1.15611,1.28735,0.97191,0.8552,0.7604,0.79899,0.43807,1.63121,1.83408,1.27859,0.000155761,0.000155761,0.000155761
20,1664.62,1.14161,1.25786,0.96975,0.84243,0.77567,0.80264,0.43924,1.63282,1.81361,1.27919,8.50255e-05,8.50255e-05,8.50255e-05
