epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.503,1.25194,1.89297,0.97534,0.85802,0.73397,0.78584,0.41313,1.69661,1.9527,1.3184,0.000474807,0.000474807,0.000474807
2,172.319,1.26211,1.89056,0.98105,0.8061,0.72356,0.75753,0.38143,1.76399,2.14498,1.3526,0.000927599,0.000927599,0.000927599
3,255.704,1.31457,2.02428,1.00293,0.80061,0.70586,0.7456,0.36378,1.81665,2.17834,1.39602,0.00135681,0.00135681,0.00135681
4,339.173,1.3684,2.16283,1.0339,0.77601,0.72292,0.73892,0.38568,1.75963,2.14404,1.32674,0.0013229,0.0013229,0.0013229
5,422.579,1.35079,2.16357,1.02586,0.77879,0.72011,0.74116,0.37888,1.75669,2.17976,1.34552,0.00128753,0.00128753,0.00128753
6,505.927,1.35527,2.14371,1.02918,0.83513,0.70991,0.76011,0.38952,1.7314,2.16456,1.3188,0.00125216,0.00125216,0.00125216
7,589.236,1.36214,2.15096,1.03545,0.78056,0.71986,0.75072,0.3762,1.75103,2.21709,1.3418,0.00121679,0.00121679,0.00121679
8,672.356,1.34747,2.13404,1.0219,0.78543,0.73166,0.75537,0.38332,1.75265,2.13924,1.33402,0.00118143,0.00118143,0.00118143
9,755.13,1.34649,2.12496,1.02615,0.80634,0.70432,0.7428,0.38381,1.77055,2.14936,1.36487,0.00114606,0.00114606,0.00114606
10,837.801,1.32955,2.05352,1.01522,0.81741,0.71754,0.75388,0.38086,1.74982,2.13131,1.34782,0.00111069,0.00111069,0.00111069
11,920.725,1.34549,2.09044,1.02587,0.78877,0.70408,0.73666,0.37771,1.74944,2.23843,1.34821,0.00107532,0.00107532,0.00107532
12,1004.1,1.32501,2.07749,1.01848,0.81148,0.72066,0.75724,0.3842,1.75873,2.13064,1.34335,0.00103995,0.00103995,0.00103995
13,1086.92,1.32212,2.02913,1.01155,0.80724,0.72832,0.75876,0.38818,1.75086,2.05503,1.35126,0.00100459,0.00100459,0.00100459
14,1169.57,1.32223,2.05811,1.01489,0.8455,0.70924,0.76207,0.38845,1.7614,2.11201,1.34596,0.000969219,0.000969219,0.000969219
15,1251.65,1.30989,2.01121,1.00363,0.81655,0.72541,0.76309,0.38654,1.75729,2.07087,1.34432,0.000933851,0.000933851,0.000933851
16,1333.84,1.31185,2.01259,1.0026,0.83088,0.71447,0.76179,0.38825,1.74591,2.0837,1.34807,0.000898484,0.000898484,0.000898484
17,1416.36,1.31108,2.00557,1.00842,0.82865,0.73047,0.77408,0.40143,1.74141,2.05941,1.34177,0.000863116,0.000863116,0.000863116
18,1499.38,1.30902,1.97214,1.00626,0.82184,0.73795,0.77259,0.39608,1.7295,2.01766,1.325,0.000827748,0.000827748,0.000827748
19,1582.08,1.3009,1.95472,0.99978,0.82685,0.7475,0.77919,0.40069,1.73959,2.02703,1.34113,0.00079238,0.00079238,0.00079238
20,1666.37,1.29041,1.93195,0.99721,0.84316,0.72051,0.76802,0.39992,1.71617,2.05916,1.31884,0.000757013,0.000757013,0.000757013
21,1750.07,1.31512,2.0002,1.00146,0.82987,0.74333,0.78079,0.40573,1.73191,1.97594,1.33085,0.000721645,0.000721645,0.000721645
22,1833.16,1.31861,2.01263,1.00591,0.81383,0.73132,0.77492,0.4021,1.71704,1.98166,1.31931,0.000686277,0.000686277,0.000686277
23,1915.93,1.30474,2.01046,1.00326,0.82036,0.75313,0.78402,0.41104,1.70961,1.99484,1.31832,0.000650909,0.000650909,0.000650909
24,1999.55,1.28769,1.97432,0.9937,0.82858,0.74033,0.77677,0.41236,1.69392,1.93384,1.30451,0.000615542,0.000615542,0.000615542
25,2083.29,1.29908,1.99128,1.00222,0.81421,0.74998,0.78229,0.41437,1.6938,1.94543,1.30059,0.000580174,0.000580174,0.000580174
26,2167.34,1.27989,1.94103,0.98963,0.82641,0.73917,0.78148,0.41673,1.6843,1.94961,1.30404,0.000544806,0.000544806,0.000544806
27,2250.47,1.26756,1.92688,0.98586,0.82941,0.74895,0.78476,0.41648,1.67728,1.908,1.29147,0.000509438,0.000509438,0.000509438
28,2333.36,1.26468,1.89226,0.98127,0.82867,0.75003,0.78507,0.42202,1.66631,1.90093,1.29581,0.000474071,0.000474071,0.000474071
29,2416.19,1.26433,1.88654,0.97971,0.83787,0.75046,0.78369,0.41275,1.68577,1.91959,1.3149,0.000438703,0.000438703,0.000438703
30,2499.85,1.25405,1.85218,0.97066,0.82209,0.75773,0.78692,0.41871,1.68012,1.90007,1.29732,0.000403335,0.000403335,0.000403335
31,2583.85,1.25806,1.47841,1.03219,0.84551,0.7435,0.7825,0.41437,1.66859,1.9361,1.29273,0.000367967,0.000367967,0.000367967
32,2665.41,1.21476,1.39515,1.00784,0.82176,0.75591,0.78154,0.42037,1.67292,1.92556,1.29751,0.0003326,0.0003326,0.0003326
33,2746.34,1.21133,1.3849,1.01125,0.83116,0.75604,0.78776,0.42565,1.66079,1.88467,1.29278,0.000297232,0.000297232,0.000297232
34,2827.5,1.1953,1.3454,0.99703,0.82279,0.75813,0.79353,0.42818,1.65294,1.91582,1.29339,0.000261864,0.000261864,0.000261864
35,2908.82,1.18485,1.3301,0.99054,0.83742,0.76086,0.79749,0.43009,1.64763,1.8722,1.28205,0.000226497,0.000226497,0.000226497
36,2990.53,1.17977,1.32881,0.99536,0.84173,0.7701,0.79868,0.432,1.65264,1.86436,1.29077,0.000191129,0.000191129,0.000191129
37,3072.21,1.16218,1.29891,0.97808,0.83927,0.75815,0.79286,0.43398,1.64637,1.84562,1.28934,0.000155761,0.000155761,0.000155761
38,3153.18,1.16378,1.2993,0.97937,0.85284,0.7602,0.79432,0.43383,1.63957,1.83145,1.2842,0.000120393,0.000120393,0.000120393
39,3234.35,1.14674,1.2698,0.97673,0.84855,0.76936,0.7983,0.43861,1.63729,1.8296,1.28875,8.50255e-05,8.50255e-05,8.50255e-05
40,3315.53,1.14455,1.25597,0.97156,0.84296,0.76999,0.79806,0.43801,1.6347,1.82557,1.28396,4.96578e-05,4.96578e-05,4.96578e-05
