epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2547,1.47388,2.64136,1.11106,0.75881,0.69771,0.72799,0.36417,1.74002,2.4314,1.338,0.000474807,0.000474807,0.000474807
2,170.464,1.5414,2.85488,1.14766,0.7168,0.65194,0.6814,0.31835,1.80425,2.69014,1.37113,0.000919752,0.000919752,0.000919752
3,252.937,1.58735,3.10263,1.17652,0.69392,0.652,0.67471,0.32202,1.82018,2.78934,1.38421,0.00133326,0.00133326,0.00133326
4,335.747,1.62832,3.26571,1.19736,0.64683,0.63712,0.65656,0.30754,1.83357,2.86255,1.3825,0.00128753,0.00128753,0.00128753
5,417.783,1.60935,3.23647,1.18696,0.66652,0.65043,0.65725,0.30671,1.83157,2.85545,1.40047,0.00124037,0.00124037,0.00124037
6,500.575,1.61195,3.18563,1.19258,0.69519,0.66508,0.68673,0.31927,1.80971,2.6915,1.37454,0.00119322,0.00119322,0.00119322
7,583.595,1.60691,3.17303,1.19206,0.6854,0.65927,0.67772,0.32398,1.7897,2.79152,1.36544,0.00114606,0.00114606,0.00114606
8,666.973,1.58841,3.12724,1.17696,0.7087,0.6637,0.68398,0.33307,1.77464,2.69676,1.34425,0.0010989,0.0010989,0.0010989
9,749.83,1.58013,3.09303,1.17754,0.70608,0.65016,0.69075,0.33491,1.77693,2.63957,1.36055,0.00105174,0.00105174,0.00105174
10,832.436,1.56755,2.98333,1.16441,0.70648,0.67423,0.69739,0.33545,1.76106,2.65608,1.35481,0.00100459,0.00100459,0.00100459
11,914.157,1.57405,3.00872,1.17082,0.72925,0.643,0.68869,0.34092,1.76862,2.69912,1.34768,0.00095743,0.00095743,0.00095743
12,996.51,1.55653,2.99622,1.16166,0.74709,0.67486,0.71782,0.34257,1.78421,2.54895,1.3481,0.000910273,0.000910273,0.000910273
13,1080.16,1.53323,2.86307,1.14363,0.71083,0.69233,0.70052,0.34364,1.77114,2.5617,1.34763,0.000863116,0.000863116,0.000863116
14,1163.32,1.52986,2.87573,1.14586,0.72944,0.68287,0.70424,0.35335,1.73345,2.53089,1.32619,0.000815959,0.000815959,0.000815959
15,1245.39,1.52054,2.80298,1.13542,0.7505,0.69124,0.7163,0.35357,1.75265,2.56469,1.33366,0.000768802,0.000768802,0.000768802
16,1328.07,1.51393,2.76385,1.12652,0.76972,0.7059,0.73757,0.35777,1.76025,2.41937,1.33295,0.000721645,0.000721645,0.000721645
17,1411.69,1.51521,2.7631,1.12731,0.76914,0.70186,0.73813,0.36483,1.74979,2.37202,1.32635,0.000674488,0.000674488,0.000674488
18,1493.73,1.50154,2.69082,1.12384,0.76305,0.71319,0.73563,0.36012,1.74238,2.4058,1.32208,0.000627331,0.000627331,0.000627331
19,1576.41,1.48848,2.65443,1.11821,0.76821,0.69998,0.73959,0.37124,1.73029,2.39297,1.32183,0.000580174,0.000580174,0.000580174
20,1658.75,1.47384,2.62452,1.1105,0.75334,0.69753,0.73118,0.37298,1.7238,2.39338,1.31311,0.000533017,0.000533017,0.000533017
21,1741.31,1.50392,2.23413,1.19066,0.76011,0.72841,0.74368,0.37755,1.70974,2.30717,1.3086,0.00048586,0.00048586,0.00048586
22,1822.75,1.48994,2.07294,1.18073,0.78247,0.72424,0.75639,0.38401,1.7038,2.26217,1.30672,0.000438703,0.000438703,0.000438703
23,1903.47,1.46335,2.01807,1.16556,0.77728,0.72875,0.75624,0.3841,1.69926,2.25914,1.30532,0.000391546,0.000391546,0.000391546
24,1984.7,1.44656,1.98246,1.15864,0.78115,0.72965,0.76295,0.39551,1.70161,2.18683,1.30046,0.000344389,0.000344389,0.000344389
25,2065.94,1.43326,1.95156,1.15194,0.80803,0.72193,0.75895,0.39957,1.67418,2.20998,1.29209,0.000297232,0.000297232,0.000297232
26,2147.08,1.4129,1.9017,1.13239,0.77725,0.73211,0.76023,0.40041,1.6658,2.17128,1.28628,0.000250075,0.000250075,0.000250075
27,2227.73,1.39501,1.88191,1.12684,0.79346,0.74339,0.76924,0.40405,1.68143,2.13049,1.29104,0.000202918,0.000202918,0.000202918
28,2308.47,1.38365,1.83809,1.1195,0.80181,0.7545,0.77562,0.40529,1.67016,2.1166,1.28712,0.000155761,0.000155761,0.000155761
29,2389.36,1.37379,1.78891,1.11198,0.81157,0.7451,0.78196,0.41326,1.65923,2.07276,1.27892,0.000108604,0.000108604,0.000108604
30,2471.35,1.35256,1.75479,1.098,0.81054,0.75103,0.78028,0.41296,1.66158,2.08061,1.27972,6.1447e-05,6.1447e-05,6.1447e-05
