epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7786,1.41719,2.42325,1.07791,0.8062,0.7051,0.75548,0.38274,1.72446,2.23948,1.31847,0.000474807,0.000474807,0.000474807
2,173.04,1.44999,2.48954,1.09182,0.74145,0.68971,0.71914,0.34622,1.78486,2.4035,1.35481,0.000919752,0.000919752,0.000919752
3,257.405,1.49579,2.69176,1.11608,0.74633,0.65254,0.6937,0.32972,1.8131,2.60239,1.36049,0.00133326,0.00133326,0.00133326
4,340.967,1.53895,2.82647,1.14069,0.70318,0.64993,0.6672,0.32347,1.83599,2.70588,1.37004,0.00128753,0.00128753,0.00128753
5,423.683,1.52404,2.833,1.13237,0.72811,0.67001,0.69782,0.33285,1.79001,2.60182,1.37624,0.00124037,0.00124037,0.00124037
6,507.879,1.52918,2.79716,1.13832,0.72234,0.67512,0.70262,0.34849,1.78347,2.51655,1.34823,0.00119322,0.00119322,0.00119322
7,591.062,1.52821,2.77935,1.13597,0.7465,0.6892,0.71946,0.35187,1.77134,2.53846,1.34977,0.00114606,0.00114606,0.00114606
8,674.201,1.51432,2.7415,1.12553,0.76563,0.6873,0.73404,0.3538,1.78612,2.45358,1.34913,0.0010989,0.0010989,0.0010989
9,757.699,1.50404,2.70382,1.12009,0.77376,0.68454,0.71715,0.34766,1.77464,2.44176,1.35214,0.00105174,0.00105174,0.00105174
10,841.613,1.48001,2.59957,1.1033,0.76468,0.68086,0.71692,0.3543,1.77107,2.51464,1.34005,0.00100459,0.00100459,0.00100459
11,925.449,1.4963,2.66948,1.11787,0.77654,0.69977,0.7346,0.35873,1.75073,2.4368,1.3296,0.00095743,0.00095743,0.00095743
12,1008.79,1.47715,2.62145,1.10886,0.79149,0.70057,0.73888,0.36934,1.75852,2.34144,1.34233,0.000910273,0.000910273,0.000910273
13,1091.76,1.45795,2.53533,1.09196,0.75687,0.71288,0.74253,0.37275,1.74253,2.29157,1.32725,0.000863116,0.000863116,0.000863116
14,1175.18,1.45529,2.5452,1.09508,0.77291,0.69637,0.73224,0.36722,1.76215,2.36574,1.33044,0.000815959,0.000815959,0.000815959
15,1258.22,1.45277,2.49396,1.09067,0.77333,0.70182,0.73435,0.36577,1.75586,2.36389,1.3332,0.000768802,0.000768802,0.000768802
16,1341.3,1.43958,2.45806,1.08152,0.79985,0.71104,0.75072,0.37692,1.74256,2.2503,1.32327,0.000721645,0.000721645,0.000721645
17,1424.76,1.4358,2.45498,1.0824,0.79105,0.72367,0.75962,0.37688,1.74127,2.19487,1.32752,0.000674488,0.000674488,0.000674488
18,1508.15,1.42954,2.37844,1.07642,0.78117,0.71609,0.75095,0.3836,1.71218,2.22117,1.30427,0.000627331,0.000627331,0.000627331
19,1591.08,1.41778,2.35662,1.07075,0.80242,0.73032,0.76305,0.38908,1.7339,2.21152,1.31965,0.000580174,0.000580174,0.000580174
20,1673.79,1.40075,2.33411,1.06705,0.81628,0.71104,0.75391,0.38429,1.73435,2.20699,1.3132,0.000533017,0.000533017,0.000533017
21,1757.83,1.42574,1.92834,1.14157,0.79374,0.73077,0.7564,0.3866,1.73,2.1838,1.31921,0.00048586,0.00048586,0.00048586
22,1839.69,1.40781,1.81052,1.12556,0.802,0.72754,0.76226,0.39832,1.70618,2.16326,1.30193,0.000438703,0.000438703,0.000438703
23,1921.17,1.38958,1.79622,1.11596,0.8048,0.73751,0.76781,0.3988,1.69063,2.12103,1.2902,0.000391546,0.000391546,0.000391546
24,2002.74,1.35858,1.73869,1.09849,0.83097,0.73862,0.78003,0.40826,1.69958,2.03536,1.29755,0.000344389,0.000344389,0.000344389
25,2084.89,1.35595,1.71203,1.09733,0.79999,0.75018,0.77502,0.40343,1.69629,2.03805,1.30139,0.000297232,0.000297232,0.000297232
26,2166.88,1.32715,1.66428,1.07754,0.82779,0.74628,0.77704,0.40784,1.67239,2.01152,1.29004,0.000250075,0.000250075,0.000250075
27,2248.3,1.32547,1.65665,1.08196,0.82191,0.75269,0.78161,0.41117,1.67854,1.96646,1.29222,0.000202918,0.000202918,0.000202918
28,2329.82,1.31371,1.62071,1.07374,0.8474,0.7427,0.78658,0.41692,1.66987,1.97391,1.28735,0.000155761,0.000155761,0.000155761
29,2411.22,1.30405,1.6004,1.06783,0.8218,0.75677,0.78574,0.41812,1.66822,1.95237,1.28544,0.000108604,0.000108604,0.000108604
30,2493.26,1.29198,1.57967,1.05942,0.83955,0.75332,0.78746,0.42156,1.66673,1.95205,1.28568,6.1447e-05,6.1447e-05,6.1447e-05
