epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.195,1.76383,1.86661,2.05086,0.55106,0.53213,0.53696,0.2233,2.07595,1.85392,2.48604,0.000474807,0.000474807,0.000474807
2,253.054,1.74294,1.95775,2.01581,0.51995,0.49389,0.49702,0.21172,2.02837,1.93908,2.43537,0.000904059,0.000904059,0.000904059
3,375.402,1.77454,2.03071,2.04363,0.50436,0.4556,0.4572,0.17967,2.09863,2.10439,2.51789,0.00128615,0.00128615,0.00128615
4,497.21,1.79461,2.07611,2.05305,0.51273,0.50796,0.4851,0.2095,2.00981,1.99956,2.42134,0.00121679,0.00121679,0.00121679
5,618.928,1.77755,2.05379,2.03631,0.55074,0.51057,0.52493,0.21837,2.00349,2.01341,2.41291,0.00114606,0.00114606,0.00114606
6,741.187,1.75627,2.00416,2.02157,0.55991,0.52347,0.53424,0.22611,2.02087,1.88309,2.42254,0.00107532,0.00107532,0.00107532
7,862.767,1.73668,1.97321,2.00721,0.59553,0.52331,0.55367,0.23841,2.00718,1.82374,2.39607,0.00100459,0.00100459,0.00100459
8,984.196,1.72544,1.93306,1.99452,0.60976,0.54586,0.5789,0.24705,1.9788,1.81672,2.37851,0.000933851,0.000933851,0.000933851
9,1106.06,1.70828,1.89243,1.98354,0.58557,0.55381,0.55644,0.22842,2.0294,1.78334,2.42545,0.000863116,0.000863116,0.000863116
