epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,epoch_global
18,1493.69,1.35879,2.12556,1.03458,0.80913,0.71859,0.76376,0.38446,1.74665,2.10895,1.32773,0.000827748,0.000827748,0.000827748,178
19,1576.45,1.35127,2.1283,1.03208,0.81296,0.74157,0.77094,0.39226,1.73963,2.09156,1.33032,0.00079238,0.00079238,0.00079238,179
20,1659.79,1.34013,2.0988,1.02726,0.81651,0.73151,0.76669,0.39194,1.72407,2.10414,1.32652,0.000757013,0.000757013,0.000757013,180
21,1742.76,1.38849,2.17758,1.04338,0.81381,0.72816,0.7699,0.40085,1.72321,2.05372,1.31395,0.000721645,0.000721645,0.000721645,181
22,1825.81,1.38281,2.22129,1.04406,0.81342,0.73234,0.77239,0.40048,1.7113,2.05824,1.3049,0.000686277,0.000686277,0.000686277,182
23,1908.74,1.3682,2.20628,1.03894,0.80996,0.7407,0.77259,0.40046,1.72698,2.04693,1.31517,0.000650909,0.000650909,0.000650909,183
24,1991.95,1.35242,2.15578,1.02778,0.82391,0.73252,0.77717,0.4066,1.70251,1.98351,1.30027,0.000615542,0.000615542,0.000615542,184
25,2075.94,1.36469,2.18207,1.03812,0.82339,0.74837,0.7799,0.40852,1.68981,1.96464,1.28761,0.000580174,0.000580174,0.000580174,185
26,2158.95,1.34731,2.10166,1.02383,0.83452,0.74042,0.7758,0.40904,1.691,1.95537,1.2965,0.000544806,0.000544806,0.000544806,186
27,2241.77,1.33464,2.08939,1.02127,0.82825,0.74965,0.78367,0.41371,1.67553,1.94714,1.27861,0.000509438,0.000509438,0.000509438,187
28,2325.29,1.33087,2.0596,1.01536,0.82801,0.74501,0.7779,0.41478,1.67752,1.95622,1.28477,0.000474071,0.000474071,0.000474071,188
29,2408.28,1.32724,2.05345,1.01028,0.82817,0.74506,0.78078,0.40796,1.69421,1.94104,1.30647,0.000438703,0.000438703,0.000438703,189
30,2491.57,1.31272,2.01796,1.00202,0.85123,0.74708,0.7876,0.41728,1.68121,1.89854,1.28574,0.000403335,0.000403335,0.000403335,190
31,2575.24,1.33577,1.63459,1.07343,0.83999,0.74054,0.78175,0.41204,1.67709,1.93313,1.28934,0.000367967,0.000367967,0.000367967,191
32,2657.58,1.28155,1.53235,1.04503,0.83241,0.74201,0.78007,0.41621,1.68102,1.92741,1.28933,0.0003326,0.0003326,0.0003326,192
33,2739.54,1.28329,1.51503,1.04991,0.83324,0.74638,0.78564,0.41999,1.66874,1.90532,1.28067,0.000297232,0.000297232,0.000297232,193
34,2821.65,1.26642,1.46835,1.03358,0.84391,0.74818,0.79023,0.42586,1.65096,1.88972,1.2789,0.000261864,0.000261864,0.000261864,194
35,2903.58,1.24475,1.43782,1.02524,0.83701,0.76349,0.79683,0.43008,1.65644,1.86361,1.27923,0.000226497,0.000226497,0.000226497,195
36,2985.57,1.24116,1.4256,1.02867,0.83016,0.76285,0.79436,0.4323,1.64839,1.87341,1.27472,0.000191129,0.000191129,0.000191129,196
37,3067.38,1.21909,1.40236,1.00834,0.8386,0.75833,0.79714,0.43186,1.64367,1.84997,1.27555,0.000155761,0.000155761,0.000155761,197
38,3149.49,1.21281,1.39014,1.00542,0.85246,0.75278,0.79863,0.43711,1.64064,1.83722,1.27488,0.000120393,0.000120393,0.000120393,198
39,3231.38,1.20535,1.36999,1.00532,0.83837,0.76953,0.79951,0.43869,1.63156,1.82996,1.27195,8.50255e-05,8.50255e-05,8.50255e-05,199
40,3313.13,1.19464,1.34236,0.99995,0.8494,0.75586,0.80008,0.43936,1.63909,1.82961,1.27568,4.96578e-05,4.96578e-05,4.96578e-05,200
1,87.503,1.25194,1.89297,0.97534,0.85802,0.73397,0.78584,0.41313,1.69661,1.9527,1.3184,0.000474807,0.000474807,0.000474807,201
2,172.319,1.26211,1.89056,0.98105,0.8061,0.72356,0.75753,0.38143,1.76399,2.14498,1.3526,0.000927599,0.000927599,0.000927599,202
3,255.704,1.31457,2.02428,1.00293,0.80061,0.70586,0.7456,0.36378,1.81665,2.17834,1.39602,0.00135681,0.00135681,0.00135681,203
4,339.173,1.3684,2.16283,1.0339,0.77601,0.72292,0.73892,0.38568,1.75963,2.14404,1.32674,0.0013229,0.0013229,0.0013229,204
5,422.579,1.35079,2.16357,1.02586,0.77879,0.72011,0.74116,0.37888,1.75669,2.17976,1.34552,0.00128753,0.00128753,0.00128753,205
6,505.927,1.35527,2.14371,1.02918,0.83513,0.70991,0.76011,0.38952,1.7314,2.16456,1.3188,0.00125216,0.00125216,0.00125216,206
7,589.236,1.36214,2.15096,1.03545,0.78056,0.71986,0.75072,0.3762,1.75103,2.21709,1.3418,0.00121679,0.00121679,0.00121679,207
8,672.356,1.34747,2.13404,1.0219,0.78543,0.73166,0.75537,0.38332,1.75265,2.13924,1.33402,0.00118143,0.00118143,0.00118143,208
9,755.13,1.34649,2.12496,1.02615,0.80634,0.70432,0.7428,0.38381,1.77055,2.14936,1.36487,0.00114606,0.00114606,0.00114606,209
10,837.801,1.32955,2.05352,1.01522,0.81741,0.71754,0.75388,0.38086,1.74982,2.13131,1.34782,0.00111069,0.00111069,0.00111069,210
11,920.725,1.34549,2.09044,1.02587,0.78877,0.70408,0.73666,0.37771,1.74944,2.23843,1.34821,0.00107532,0.00107532,0.00107532,211
12,1004.1,1.32501,2.07749,1.01848,0.81148,0.72066,0.75724,0.3842,1.75873,2.13064,1.34335,0.00103995,0.00103995,0.00103995,212
13,1086.92,1.32212,2.02913,1.01155,0.80724,0.72832,0.75876,0.38818,1.75086,2.05503,1.35126,0.00100459,0.00100459,0.00100459,213
14,1169.57,1.32223,2.05811,1.01489,0.8455,0.70924,0.76207,0.38845,1.7614,2.11201,1.34596,0.000969219,0.000969219,0.000969219,214
15,1251.65,1.30989,2.01121,1.00363,0.81655,0.72541,0.76309,0.38654,1.75729,2.07087,1.34432,0.000933851,0.000933851,0.000933851,215
16,1333.84,1.31185,2.01259,1.0026,0.83088,0.71447,0.76179,0.38825,1.74591,2.0837,1.34807,0.000898484,0.000898484,0.000898484,216
17,1416.36,1.31108,2.00557,1.00842,0.82865,0.73047,0.77408,0.40143,1.74141,2.05941,1.34177,0.000863116,0.000863116,0.000863116,217
18,1499.38,1.30902,1.97214,1.00626,0.82184,0.73795,0.77259,0.39608,1.7295,2.01766,1.325,0.000827748,0.000827748,0.000827748,218
19,1582.08,1.3009,1.95472,0.99978,0.82685,0.7475,0.77919,0.40069,1.73959,2.02703,1.34113,0.00079238,0.00079238,0.00079238,219
20,1666.37,1.29041,1.93195,0.99721,0.84316,0.72051,0.76802,0.39992,1.71617,2.05916,1.31884,0.000757013,0.000757013,0.000757013,220
21,1750.07,1.31512,2.0002,1.00146,0.82987,0.74333,0.78079,0.40573,1.73191,1.97594,1.33085,0.000721645,0.000721645,0.000721645,221
22,1833.16,1.31861,2.01263,1.00591,0.81383,0.73132,0.77492,0.4021,1.71704,1.98166,1.31931,0.000686277,0.000686277,0.000686277,222
23,1915.93,1.30474,2.01046,1.00326,0.82036,0.75313,0.78402,0.41104,1.70961,1.99484,1.31832,0.000650909,0.000650909,0.000650909,223
24,1999.55,1.28769,1.97432,0.9937,0.82858,0.74033,0.77677,0.41236,1.69392,1.93384,1.30451,0.000615542,0.000615542,0.000615542,224
25,2083.29,1.29908,1.99128,1.00222,0.81421,0.74998,0.78229,0.41437,1.6938,1.94543,1.30059,0.000580174,0.000580174,0.000580174,225
26,2167.34,1.27989,1.94103,0.98963,0.82641,0.73917,0.78148,0.41673,1.6843,1.94961,1.30404,0.000544806,0.000544806,0.000544806,226
27,2250.47,1.26756,1.92688,0.98586,0.82941,0.74895,0.78476,0.41648,1.67728,1.908,1.29147,0.000509438,0.000509438,0.000509438,227
28,2333.36,1.26468,1.89226,0.98127,0.82867,0.75003,0.78507,0.42202,1.66631,1.90093,1.29581,0.000474071,0.000474071,0.000474071,228
29,2416.19,1.26433,1.88654,0.97971,0.83787,0.75046,0.78369,0.41275,1.68577,1.91959,1.3149,0.000438703,0.000438703,0.000438703,229
30,2499.85,1.25405,1.85218,0.97066,0.82209,0.75773,0.78692,0.41871,1.68012,1.90007,1.29732,0.000403335,0.000403335,0.000403335,230
31,2583.85,1.25806,1.47841,1.03219,0.84551,0.7435,0.7825,0.41437,1.66859,1.9361,1.29273,0.000367967,0.000367967,0.000367967,231
32,2665.41,1.21476,1.39515,1.00784,0.82176,0.75591,0.78154,0.42037,1.67292,1.92556,1.29751,0.0003326,0.0003326,0.0003326,232
33,2746.34,1.21133,1.3849,1.01125,0.83116,0.75604,0.78776,0.42565,1.66079,1.88467,1.29278,0.000297232,0.000297232,0.000297232,233
34,2827.5,1.1953,1.3454,0.99703,0.82279,0.75813,0.79353,0.42818,1.65294,1.91582,1.29339,0.000261864,0.000261864,0.000261864,234
35,2908.82,1.18485,1.3301,0.99054,0.83742,0.76086,0.79749,0.43009,1.64763,1.8722,1.28205,0.000226497,0.000226497,0.000226497,235
36,2990.53,1.17977,1.32881,0.99536,0.84173,0.7701,0.79868,0.432,1.65264,1.86436,1.29077,0.000191129,0.000191129,0.000191129,236
37,3072.21,1.16218,1.29891,0.97808,0.83927,0.75815,0.79286,0.43398,1.64637,1.84562,1.28934,0.000155761,0.000155761,0.000155761,237
38,3153.18,1.16378,1.2993,0.97937,0.85284,0.7602,0.79432,0.43383,1.63957,1.83145,1.2842,0.000120393,0.000120393,0.000120393,238
39,3234.35,1.14674,1.2698,0.97673,0.84855,0.76936,0.7983,0.43861,1.63729,1.8296,1.28875,8.50255e-05,8.50255e-05,8.50255e-05,239
40,3315.53,1.14455,1.25597,0.97156,0.84296,0.76999,0.79806,0.43801,1.6347,1.82557,1.28396,4.96578e-05,4.96578e-05,4.96578e-05,240
1,88.9331,1.20551,1.7726,0.95113,0.84008,0.74885,0.78815,0.42306,1.66445,1.95115,1.30119,0.000474807,0.000474807,0.000474807,241
2,174.63,1.20442,1.7326,0.95186,0.81351,0.7306,0.76472,0.39496,1.74404,2.04171,1.3505,0.000904059,0.000904059,0.000904059,242
3,259.192,1.2446,1.85459,0.97346,0.79611,0.7274,0.75988,0.38825,1.7546,2.09669,1.37204,0.00128615,0.00128615,0.00128615,243
4,343.487,1.28939,1.95646,0.99362,0.80728,0.71579,0.75005,0.3787,1.78777,2.15679,1.36424,0.00121679,0.00121679,0.00121679,244
5,426.263,1.28324,1.9747,0.98714,0.82268,0.72887,0.76754,0.39248,1.72161,2.02479,1.35828,0.00114606,0.00114606,0.00114606,245
6,510.623,1.29236,1.92788,0.98982,0.83244,0.72827,0.77122,0.39389,1.7246,2.053,1.32545,0.00107532,0.00107532,0.00107532,246
7,594.452,1.28203,1.91566,0.98669,0.81173,0.73911,0.77176,0.39852,1.71782,2.01611,1.3425,0.00100459,0.00100459,0.00100459,247
8,678.308,1.26838,1.89503,0.97738,0.80469,0.73253,0.76385,0.39498,1.71567,2.01154,1.33418,0.000933851,0.000933851,0.000933851,248
9,762.777,1.25429,1.89088,0.97688,0.81818,0.73254,0.76857,0.39904,1.71646,1.96024,1.33553,0.000863116,0.000863116,0.000863116,249
10,846.034,1.23534,1.80752,0.96347,0.8334,0.72867,0.77725,0.39984,1.73229,1.9868,1.34621,0.00079238,0.00079238,0.00079238,250
11,930.196,1.34923,1.63475,1.08644,0.82042,0.74914,0.77469,0.39799,1.71627,1.99871,1.31627,0.000721645,0.000721645,0.000721645,251
12,1011.51,1.30282,1.5359,1.05667,0.86089,0.72999,0.78302,0.40785,1.69964,1.98256,1.31531,0.000650909,0.000650909,0.000650909,252
13,1093.05,1.27306,1.48619,1.03985,0.84603,0.74567,0.78461,0.40856,1.70546,1.9388,1.31798,0.000580174,0.000580174,0.000580174,253
14,1175.01,1.26383,1.44419,1.03319,0.83973,0.74949,0.78533,0.41065,1.68979,1.93629,1.30232,0.000509438,0.000509438,0.000509438,254
15,1256.52,1.23632,1.4243,1.02065,0.83043,0.75924,0.78948,0.4224,1.66902,1.91299,1.30299,0.000438703,0.000438703,0.000438703,255
16,1338.4,1.20673,1.38659,1.00303,0.85052,0.75442,0.78996,0.42503,1.65193,1.89599,1.28951,0.000367967,0.000367967,0.000367967,256
17,1420.25,1.20383,1.35682,1.00067,0.83286,0.76649,0.79983,0.42677,1.66065,1.85014,1.29061,0.000297232,0.000297232,0.000297232,257
18,1501.45,1.17796,1.30724,0.98855,0.83385,0.77498,0.80502,0.43579,1.63654,1.84079,1.27899,0.000226497,0.000226497,0.000226497,258
19,1582.58,1.15611,1.28735,0.97191,0.8552,0.7604,0.79899,0.43807,1.63121,1.83408,1.27859,0.000155761,0.000155761,0.000155761,259
20,1664.62,1.14161,1.25786,0.96975,0.84243,0.77567,0.80264,0.43924,1.63282,1.81361,1.27919,8.50255e-05,8.50255e-05,8.50255e-05,260
1,85.5866,1.19897,1.75302,0.9464,0.82958,0.76185,0.79102,0.42527,1.67346,1.92534,1.32048,0.000474807,0.000474807,0.000474807,261
2,170.194,1.16954,1.6761,0.93451,0.84033,0.73432,0.77071,0.38914,1.75531,2.03589,1.36616,0.000950211,0.000950211,0.000950211,262
3,253.894,1.21638,1.75589,0.95389,0.81978,0.70448,0.74867,0.37954,1.78278,2.13342,1.38563,0.0014219,0.0014219,0.0014219,263
4,337.171,1.26435,1.89556,0.98031,0.78004,0.73328,0.74746,0.37541,1.79736,2.17286,1.3698,0.00141647,0.00141647,0.00141647,264
5,420.509,1.27174,1.92749,0.98248,0.82388,0.7095,0.75759,0.37879,1.77506,2.14698,1.37969,0.00140678,0.00140678,0.00140678,265
6,504.049,1.28739,1.91116,0.98805,0.80544,0.71945,0.7564,0.38519,1.75119,2.11476,1.34076,0.00139438,0.00139438,0.00139438,266
7,587.71,1.29864,1.97947,0.99613,0.78519,0.72636,0.74228,0.37138,1.77038,2.18372,1.38535,0.00137933,0.00137933,0.00137933,267
8,671.379,1.2964,1.95995,0.99005,0.76854,0.7169,0.7431,0.36868,1.80128,2.17823,1.37955,0.00136168,0.00136168,0.00136168,268
9,754.987,1.29061,1.95426,0.99223,0.80007,0.70984,0.75016,0.37756,1.77958,2.13326,1.36426,0.0013415,0.0013415,0.0013415,269
10,838.653,1.27938,1.91445,0.98404,0.81563,0.72734,0.76049,0.38255,1.77185,2.06597,1.36475,0.00131888,0.00131888,0.00131888,270
11,922.534,1.32866,2.05281,1.01275,0.78442,0.74072,0.75775,0.37808,1.78339,2.10671,1.37111,0.00129391,0.00129391,0.00129391,271
12,1006.44,1.3294,2.03019,1.01553,0.79973,0.73592,0.76591,0.3799,1.7785,2.08555,1.36802,0.00126667,0.00126667,0.00126667,272
13,1090.27,1.31229,2.00002,1.00133,0.78957,0.73291,0.75536,0.39063,1.75633,2.07613,1.3437,0.00123728,0.00123728,0.00123728,273
14,1174.3,1.32394,2.03094,1.00655,0.81667,0.71884,0.75266,0.38433,1.76045,2.06779,1.3395,0.00120586,0.00120586,0.00120586,274
15,1257.98,1.31253,1.97075,1.00128,0.82159,0.72287,0.76156,0.38047,1.75361,2.03528,1.33997,0.00117253,0.00117253,0.00117253,275
16,1342.46,1.30914,1.99601,1.00045,0.80777,0.74016,0.76354,0.38397,1.77748,2.07857,1.3875,0.00113742,0.00113742,0.00113742,276
