epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,epoch_global
21,1752.05,1.35698,1.73921,1.09709,0.79562,0.74173,0.76242,0.39377,1.7157,2.07724,1.31859,0.00048586,0.00048586,0.00048586,151
22,1833.47,1.33501,1.62752,1.08247,0.83466,0.73481,0.7796,0.40766,1.70682,2.03323,1.31073,0.000438703,0.000438703,0.000438703,152
23,1915.42,1.31637,1.61956,1.07167,0.8318,0.74697,0.78071,0.40854,1.68019,2.01918,1.29329,0.000391546,0.000391546,0.000391546,153
24,1996.88,1.30029,1.58961,1.0635,0.82352,0.74872,0.77729,0.40929,1.69305,1.99072,1.30655,0.000344389,0.000344389,0.000344389,154
25,2078.3,1.29151,1.55469,1.06129,0.84688,0.74934,0.78927,0.41617,1.67288,1.96831,1.29734,0.000297232,0.000297232,0.000297232,155
26,2159.86,1.27396,1.52649,1.04366,0.84771,0.74798,0.78868,0.41676,1.67172,1.92895,1.29174,0.000250075,0.000250075,0.000250075,156
27,2241.39,1.27338,1.5169,1.04808,0.83889,0.76516,0.79842,0.42221,1.66747,1.91993,1.29436,0.000202918,0.000202918,0.000202918,157
28,2322.63,1.26221,1.50139,1.04006,0.83866,0.75753,0.78994,0.42325,1.66711,1.93073,1.29276,0.000155761,0.000155761,0.000155761,158
29,2404.11,1.25421,1.47843,1.03343,0.84528,0.75355,0.79223,0.42814,1.65902,1.89676,1.29188,0.000108604,0.000108604,0.000108604,159
30,2486.47,1.24094,1.46274,1.02816,0.84747,0.75576,0.79613,0.4309,1.65696,1.89484,1.28675,6.1447e-05,6.1447e-05,6.1447e-05,160
1,84.8808,1.305,2.03827,1.00793,0.82338,0.73168,0.78458,0.40625,1.72502,2.0271,1.32219,0.000474807,0.000474807,0.000474807,161
2,170.01,1.31397,2.0347,1.01343,0.78214,0.70443,0.73342,0.34977,1.81206,2.25086,1.38346,0.000927599,0.000927599,0.000927599,162
3,253.131,1.37484,2.20385,1.04337,0.7812,0.68386,0.7221,0.35446,1.80303,2.30958,1.37542,0.00135681,0.00135681,0.00135681,163
4,335.54,1.41156,2.34816,1.06248,0.77655,0.69945,0.72623,0.3612,1.7959,2.38042,1.35516,0.0013229,0.0013229,0.0013229,164
5,417.944,1.41947,2.36962,1.06556,0.78748,0.70111,0.735,0.36073,1.77906,2.31336,1.37399,0.00128753,0.00128753,0.00128753,165
6,500.537,1.41248,2.3298,1.06244,0.76945,0.68698,0.72854,0.36777,1.76442,2.29685,1.33742,0.00125216,0.00125216,0.00125216,166
7,582.936,1.42405,2.33382,1.06883,0.78229,0.70242,0.73581,0.36621,1.76893,2.3105,1.3509,0.00121679,0.00121679,0.00121679,167
8,665.419,1.40484,2.32258,1.05463,0.76563,0.70076,0.72052,0.35852,1.77886,2.31802,1.35689,0.00118143,0.00118143,0.00118143,168
9,748.53,1.39998,2.30094,1.05642,0.80381,0.70667,0.73823,0.36646,1.78502,2.2692,1.35423,0.00114606,0.00114606,0.00114606,169
10,831.43,1.38191,2.21792,1.04255,0.78835,0.72514,0.75,0.37494,1.78795,2.2325,1.34946,0.00111069,0.00111069,0.00111069,170
11,914.151,1.39894,2.28215,1.05704,0.79262,0.68987,0.72508,0.36651,1.74989,2.29205,1.33184,0.00107532,0.00107532,0.00107532,171
12,996.632,1.38559,2.24766,1.05282,0.8103,0.71123,0.75851,0.37653,1.77287,2.18077,1.35286,0.00103995,0.00103995,0.00103995,172
13,1079.94,1.37132,2.19885,1.04298,0.79722,0.72687,0.75461,0.38577,1.75433,2.17411,1.34513,0.00100459,0.00100459,0.00100459,173
14,1162.56,1.37658,2.21272,1.04494,0.79693,0.72022,0.75418,0.38197,1.74491,2.18706,1.32852,0.000969219,0.000969219,0.000969219,174
15,1245.02,1.36122,2.15589,1.03421,0.81111,0.72336,0.7575,0.38377,1.759,2.1266,1.3333,0.000933851,0.000933851,0.000933851,175
16,1327.87,1.36778,2.17652,1.03741,0.82412,0.72615,0.76043,0.37964,1.75723,2.09686,1.34107,0.000898484,0.000898484,0.000898484,176
17,1410.51,1.36583,2.16341,1.0369,0.79885,0.71295,0.75569,0.39111,1.75313,2.14265,1.34092,0.000863116,0.000863116,0.000863116,177
