epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8018,2.04246,8.06234,1.51582,0.14419,0.1312,0.06384,0.01988,2.25551,7.86575,1.80604,0.000474807,0.000474807,0.000474807
2,168.003,2.0147,6.53793,1.52082,0.11579,0.25778,0.06982,0.02106,2.28167,6.33581,1.77492,0.000937688,0.000937688,0.000937688
3,249.75,2.02724,6.09424,1.52492,0.15981,0.20561,0.08251,0.02236,2.30682,6.3575,1.79793,0.0013871,0.0013871,0.0013871
